account,credit,last_present,expires_at,latest_expiry,granted_at,first_absent,before_used,before_reset,after_used,after_reset,before_count,after_count,disappeared_before_expiry,direct_guardian_action,first_positive_new_window,positive_reset,first_positive_used,evidence_grade
A03,C007,1787751014.4000025,2026-09-21T00:01:15.190823Z,2026-09-21T00:01:15.190823Z,2026-08-22T00:01:15.190823Z,1787751907.9379842,100,1788271984,0,1788356707,1,0,1,0,1787757316.8950067,1788356780,1,credit_loss_and_new_window
A04,C024,1788618617.5619915,2026-10-05T04:18:21.313169Z,2026-10-05T04:18:21.313169Z,2026-09-05T04:18:21.313169Z,1788619531.004995,100,1789127933,0,1789224330,1,0,1,0,1788620427.37201,1789224528,3,credit_loss_and_new_window
A05,C004,1786551323.814006,2026-08-12T18:07:14.120167Z,2026-08-12T18:07:14.120167Z,2026-07-13T18:07:14.120167Z,1786551328.8530052,100,1787037498,0,1787156128,1,0,1,1,1786878917.722012,1787388664,1,direct_guardian_redemption
A05,C010,1788416131.6509917,2026-09-21T00:26:48.559324Z,2026-09-21T00:26:48.559324Z,2026-08-22T00:26:48.559324Z,1788417018.3550134,100,1788748169,0,1789021466,1,0,1,0,1788422434.633018,1789021466,1,credit_loss_and_new_window
A05,C019,1788513326.819998,2026-10-04T05:43:09.856814Z,2026-10-04T05:43:09.856814Z,2026-09-04T05:43:09.856814Z,1788514222.1520157,100,1789021466,0,1789119021,1,0,1,0,1788524135.0720153,1789123381,2,credit_loss_and_new_window
A05,C025,1788639326.8729985,2026-10-05T04:21:04.869233Z,2026-10-05T04:21:04.869233Z,2026-09-05T04:21:04.869233Z,1788640221.7360184,100,1789123381,0,1789245020,1,0,1,0,1788641130.4150164,1789245252,1,credit_loss_and_new_window
A06,C014,1788531327.1699996,2026-10-04T02:01:46.276597Z,2026-10-04T02:01:46.276597Z,2026-09-04T02:01:46.276597Z,1788532231.2569885,100,1789046602,0,1789136669,1,0,1,0,1788535816.871014,1789136669,1,credit_loss_and_new_window
A06,C023,1788589818.6749876,2026-10-05T04:18:42.374763Z,2026-10-05T04:18:42.374763Z,2026-09-05T04:18:42.374763Z,1788590720.7839952,100,1789136669,2,1789194661,1,0,1,0,1788590720.7839952,1789194661,2,credit_loss_and_new_window
A07,C009,1787830213.8819873,2026-09-21T00:23:27.743395Z,2026-09-21T00:23:27.743395Z,2026-08-22T00:23:27.743395Z,1787831118.930991,100,1788339437,0,1788435187,1,0,1,0,1787832029.3600097,1788435187,1,credit_loss_and_new_window
A07,C016,1788689716.8249874,2026-10-04T02:40:43.873932Z,2026-10-04T02:40:43.873932Z,2026-09-04T02:40:43.873932Z,1788690626.2460053,100,1788810532,0,1789294777,2,1,1,0,1788692412.0289967,1789294777,5,credit_loss_and_new_window
A07,C022,1788705915.3879807,2026-10-05T04:20:43.521561Z,2026-10-05T04:20:43.521561Z,2026-09-05T04:20:43.521561Z,1788706824.9729886,100,1789294777,4,1789311023,1,0,1,0,1788706824.9729886,1789311023,4,credit_loss_and_new_window
A08,C005,1786550437.0050163,2026-08-12T17:57:26.281450Z,2026-08-12T17:57:26.281450Z,2026-07-13T17:57:26.281450Z,1786550443.466015,34,1787011729,0,1787155242,1,0,1,1,1786662020.537983,1787197401,1,direct_guardian_redemption
A08,C011,1787837418.896015,2026-09-21T00:20:28.906907Z,2026-09-21T00:20:28.906907Z,2026-08-22T00:20:28.906907Z,1787838331.59201,100,1788275575,0,1788443131,1,0,1,0,1787841021.4479895,1788443201,1,credit_loss_and_new_window
