account,month,strict_eligible,calls,observed_days,first_day,last_day,uncached,cached,output,reasoning,standard_usd,standard_eur,write_upper_eur,unpriced_calls,historically_uncertain_price_calls,unknown_tier_calls
A05,2026-08,0,8197,10,2026-08-01,2026-08-31,30589124,1097555584,3351793,1205473,676.6002062,582.841048058861,610.86555663172,0,0,8197
A05,2026-08,1,222865,17,2026-08-01,2026-08-31,860302590,30128018688,99207186,30920396,19853.99509792,17127.96262874049,17961.112208547536,0,0,222865
A05,2026-09,0,2217,3,2026-09-03,2026-09-05,5264283,289274624,756096,258228,152.2555206,131.0157860917658,135.27210868574772,0,0,2217
A05,2026-09,1,43344,4,2026-09-03,2026-09-06,114875433,5726655360,15196071,5393234,3670.23151232,3158.6848314411054,3279.0858939531017,0,0,43344
A06,2026-07,0,3343,6,2026-07-10,2026-07-30,12420754,372467200,1364306,312968,289.26655,253.09679114699995,266.6820526057678,0,0,3343
A06,2026-07,1,48756,6,2026-07-10,2026-07-30,192791841,6062953728,21285563,7390047,4634.002959,4061.5413593759686,4271.279612792223,0,0,48756
A06,2026-08,0,2203,2,2026-08-01,2026-08-02,6990915,317994752,649369,250893,213.433021,185.83632651284282,193.44507161515017,0,0,2203
A06,2026-08,1,21757,2,2026-08-01,2026-08-02,93989870,3104572928,10076928,2646499,2324.543654,2023.9822847191988,2126.2786168915977,0,0,21757
A06,2026-09,0,3070,2,2026-09-04,2026-09-05,9756043,422519168,1062737,302691,256.3627384,220.5840117019446,230.26162484942353,0,0,3070
A06,2026-09,1,52953,3,2026-09-04,2026-09-06,139751759,7098951296,20427169,7030256,4361.56564916,3752.852907554638,3893.329569660988,0,0,52953
A07,2026-07,0,3534,9,2026-07-05,2026-07-30,15387591,402421888,1562261,552287,325.016729,284.3606411222902,300.2572021453809,0,0,3534
A07,2026-07,1,66433,14,2026-07-02,2026-07-31,251737517,7821487488,25574774,7849450,5936.674549,5196.7473158997855,5397.801014597952,0,0,66433
A07,2026-08,0,3643,4,2026-08-15,2026-08-29,13691195,473640064,1748567,547898,282.0057172,242.2434391032974,254.11283447255005,0,0,3643
A07,2026-08,1,93771,13,2026-08-01,2026-08-29,380643670,12373069056,43239641,12784063,8500.3811354,7335.9870541410255,7712.165989757581,0,0,93771
A07,2026-09,1,36736,2,2026-09-01,2026-09-06,108822447,4746185344,15261794,4833712,3853.6335712,3320.1343373978334,3456.833762645003,0,0,36736
A08,2026-06,1,363,1,2026-06-30,2026-06-30,1364939,41043072,112921,10221,30.733861,26.973723889766546,26.973723889766546,0,0,363
A08,2026-07,0,6064,5,2026-07-10,2026-07-31,17783838,889238784,1901447,754697,590.581992,514.4082559517273,533.7758974109357,0,0,6064
A08,2026-07,1,61539,8,2026-07-01,2026-07-31,228988999,7804603008,26805005,8669219,5885.943641,5140.8751024555795,5381.888590641795,0,0,61539
A08,2026-08,0,11917,10,2026-08-01,2026-08-28,39621828,1607921280,4411924,1604429,937.0492162,805.7706387683219,841.3939593587236,5,5,11917
A08,2026-08,1,188084,14,2026-08-01,2026-08-31,688614045,24996304640,82200949,25291089,15485.5631488,13327.480787009257,13963.359998413762,99,99,188084
A08,2026-09,0,424,1,2026-09-01,2026-09-01,1693771,50263040,182752,47224,30.53534,26.3462812769629,27.807688524590166,0,0,424
A08,2026-09,1,10350,1,2026-09-01,2026-09-01,29337232,1454292992,4410074,1308007,785.8221092,678.017350474547,703.1787176013805,0,0,10350
